x,y,z
-14.90028572,-14.90028572,0.01734173
-14.80028534,-14.90028572,0.0174701
-14.70028496,-14.90028572,0.01759928
-14.60028458,-14.90028572,0.01772926
-14.50028419,-14.90028572,0.01786001
-14.40028381,-14.90028572,0.01799152
-14.30028343,-14.90028572,0.01812377
-14.20028305,-14.90028572,0.01825675
-14.10028267,-14.90028572,0.01839044
-14.00028229,-14.90028572,0.01852483
-13.90028191,-14.90028572,0.0186599
-13.80028152,-14.90028572,0.01879563
-13.70028114,-14.90028572,0.01893201
-13.60028076,-14.90028572,0.01908377
-13.50028038,-14.90028572,0.01923422
-13.40028,-14.90028572,0.01937934
-13.30027962,-14.90028572,0.01952292
-13.20027924,-14.90028572,0.01966751
-13.10027885,-14.90028572,0.01981309
-13.00027847,-14.90028572,0.01995965
-12.90027809,-14.90028572,0.02010714
-12.80027771,-14.90028572,0.02025557
-12.70027733,-14.90028572,0.0204049
-12.60027695,-14.90028572,0.02055512
-12.50027657,-14.90028572,0.0207062
-12.40027618,-14.90028572,0.02085814
-12.3002758,-14.90028572,0.02101073
-12.20027542,-14.90028572,0.02114499
-12.10027504,-14.90028572,0.02128042
-12.00027466,-14.90028572,0.02141702
-11.90027428,-14.90028572,0.02155837
-11.8002739,-14.90028572,0.021726
-11.70027351,-14.90028572,0.02189485
-11.60027313,-14.90028572,0.02206488
-11.50027275,-14.90028572,0.02223607
-11.40027237,-14.90028572,0.0224004
-11.30027199,-14.90028572,0.02254241
-11.20027161,-14.90028572,0.02268608
-11.10027122,-14.90028572,0.02283139
-11.00027084,-14.90028572,0.02297829
-10.90027046,-14.90028572,0.02312677
-10.80027008,-14.90028572,0.02327678
-10.7002697,-14.90028572,0.02346109
-10.60026932,-14.90028572,0.02365878
-10.50026894,-14.90028572,0.02385811
-10.40026855,-14.90028572,0.02402546
-10.30026817,-14.90028572,0.02417051
-10.20026779,-14.90028572,0.02431772
-10.10026741,-14.90028572,0.02446707
-10.00026703,-14.90028572,0.0246185
-9.90026665,-14.90028572,0.02477198
-9.80026627,-14.90028572,0.02492748
-9.70026588,-14.90028572,0.02508458
-9.6002655,-14.90028572,0.02524359
-9.50026512,-14.90028572,0.02540555
-9.40026474,-14.90028572,0.02556972
-9.30026436,-14.90028572,0.02573652
-9.20026398,-14.90028572,0.02590922
-9.1002636,-14.90028572,0.02608391
-9.00026321,-14.90028572,0.02626055
-8.90026283,-14.90028572,0.02643911
-8.80026245,-14.90028572,0.02661955
-8.70026207,-14.90028572,0.02681894
-8.60026169,-14.90028572,0.02698316
-8.50026131,-14.90028572,0.02714193
-8.40026093,-14.90028572,0.02730361
-8.30026054,-14.90028572,0.02746814
-8.20026016,-14.90028572,0.02763548
-8.10025978,-14.90028572,0.02780732
-8.0002594,-14.90028572,0.02798217
-7.90025949,-14.90028572,0.02815953
-7.80025959,-14.90028572,0.02833935
-7.70025969,-14.90028572,0.02852158
-7.60025978,-14.90028572,0.02866777
-7.50025988,-14.90028572,0.02883109
-7.40025997,-14.90028572,0.02900052
-7.30026007,-14.90028572,0.02917316
-7.20026016,-14.90028572,0.02934895
-7.10026026,-14.90028572,0.02952783
-7.00026035,-14.90028572,0.02970975
-6.90026045,-14.90028572,0.02989466
-6.80026054,-14.90028572,0.0300825
-6.70026064,-14.90028572,0.03026304
-6.60026073,-14.90028572,0.03037222
-6.50026083,-14.90028572,0.03048462
-6.40026093,-14.90028572,0.03060022
-6.30026102,-14.90028572,0.03075311
-6.20026112,-14.90028572,0.03092294
-6.10026121,-14.90028572,0.03109654
-6.00026131,-14.90028572,0.03127386
-5.9002614,-14.90028572,0.03145484
-5.8002615,-14.90028572,0.03159589
-5.70026159,-14.90028572,0.03171604
-5.60026169,-14.90028572,0.03184036
-5.50026178,-14.90028572,0.0319688
-5.40026188,-14.90028572,0.03210131
-5.30026197,-14.90028572,0.03223784
-5.20026207,-14.90028572,0.03237833
-5.10026217,-14.90028572,0.03253745
-5.00026226,-14.90028572,0.03266789
-4.90026236,-14.90028572,0.03279945
-4.80026245,-14.90028572,0.03293537
-4.70026255,-14.90028572,0.03307559
-4.60026264,-14.90028572,0.03322007
-4.50026274,-14.90028572,0.03336874
-4.40026283,-14.90028572,0.03352156
-4.30026293,-14.90028572,0.03361698
-4.20026302,-14.90028572,0.03368967
-4.10026312,-14.90028572,0.03376776
-4.00026321,-14.90028572,0.03385124
-3.90026331,-14.90028572,0.03394004
-3.8002634,-14.90028572,0.03403414
-3.7002635,-14.90028572,0.0341338
-3.6002636,-14.90028572,0.03422386
-3.50026369,-14.90028572,0.03433993
-3.40026379,-14.90028572,0.03446198
-3.30026388,-14.90028572,0.03458887
-3.20026398,-14.90028572,0.03472055
-3.10026407,-14.90028572,0.03485695
-3.00026417,-14.90028572,0.03499803
-2.90026426,-14.90028572,0.03514373
-2.80026436,-14.90028572,0.03529261
-2.70026445,-14.90028572,0.0353344
-2.60026455,-14.90028572,0.03538179
-2.50026464,-14.90028572,0.03543477
-2.40026474,-14.90028572,0.0354933
-2.30026484,-14.90028572,0.03555737
-2.20026493,-14.90028572,0.03562693
-2.10026503,-14.90028572,0.03572006
-2.00026512,-14.90028572,0.03578419
-1.9002651,-14.90028572,0.03582925
-1.80026507,-14.90028572,0.0358776
-1.70026505,-14.90028572,0.03593099
-1.60026503,-14.90028572,0.03598941
-1.500265,-14.90028572,0.03605283
-1.40026498,-14.90028572,0.03611619
-1.30026495,-14.90028572,0.03616134
-1.20026493,-14.90028572,0.03621309
-1.10026491,-14.90028572,0.03627141
-1.00026488,-14.90028572,0.03630356
-0.90026486,-14.90028572,0.03631148
-0.80026484,-14.90028572,0.03632432
-0.70026481,-14.90028572,0.03634207
-0.60026479,-14.90028572,0.03636474
-0.50026476,-14.90028572,0.03636388
-0.40026477,-14.90028572,0.03636504
-0.30026478,-14.90028572,0.03637255
-0.20026478,-14.90028572,0.03638773
-0.10026478,-14.90028572,0.03641148
-0.00026478,-14.90028572,0.0364401
0.09973522,-14.90028572,0.03646901
0.19973522,-14.90028572,0.03643164
0.29973522,-14.90028572,0.03640002
0.39973521,-14.90028572,0.03637414
0.49973521,-14.90028572,0.03635403
0.5997352,-14.90028572,0.0363397
0.69973522,-14.90028572,0.03633114
0.79973525,-14.90028572,0.03632837
0.89973527,-14.90028572,0.03630097
0.9997353,-14.90028572,0.03626804
1.09973526,-14.90028572,0.03624072
1.19973528,-14.90028572,0.03621902
1.29973531,-14.90028572,0.03620294
